temp;heat_load[kW];electrical_load[kW];PV[W/Wp]
7,8;2,13682938;0,263051419;0
8,2;2,279284672;0,26326598;0
7,6;2,421739964;0,265518867;0
7,9;8,705531328;0,634026871;0
7,6;2,84910584;0,313687744;0
8;2,760455816;0,262515017;0
7,3;2,114666874;0,289335105;0
7,1;2,377414952;0,811683131;0,03
6,6;2,73829331;0,872940211;0,12
6,6;2,355252446;0,388140308;0,22
6,6;4,511042337;0,625229882;0,28
6,6;3,067528906;0,471818981;0,28
6,3;1,950049076;0,259189326;0,24
5,4;2,114666874;0,368615284;0,16
4,6;1,994374088;0,199434171;0,07
4,8;1,709463504;0,270882885;0,01
4,9;2,826943334;0,438991194;0
4,6;2,257122166;0,639283608;0
4,5;2,564195256;0,840863386;0
4,7;1,851918796;0,869292679;0
4,4;4,381269296;1,368146308;0
4,3;0,142455292;0,20512003;0
3,7;1,709463504;0,294162721;0
3,7;1,994374088;0,273886734;0
3,7;2,13682938;0,263051419;0
3,6;2,279284672;0,26326598;0
3,3;2,421739964;0,265518867;0
3,4;8,705531328;0,634026871;0
3,3;2,84910584;0,313687744;0
3,2;2,760455816;0,262515017;0
3,5;2,114666874;0,289335105;0
4,2;2,377414952;0,811683131;0,04
5,8;2,73829331;0,872940211;0,13
6,7;2,355252446;0,388140308;0,21
7,3;4,511042337;0,625229882;0,27
7,2;3,067528906;0,471818981;0,28
7,4;1,950049076;0,259189326;0,21
6,7;2,114666874;0,368615284;0,1
6,3;1,994374088;0,199434171;0,04
6,5;1,709463504;0,270882885;0,01
6,9;2,826943334;0,438991194;0
7,4;2,257122166;0,639283608;0
7,6;2,564195256;0,840863386;0
7,6;1,851918796;0,869292679;0
8,2;4,381269296;1,368146308;0
8,5;0,142455292;0,20512003;0
9;1,709463504;0,294162721;0
8,9;1,994374088;0,273886734;0
8,9;2,13682938;0,263051419;0
8,9;2,279284672;0,26326598;0
9,3;2,421739964;0,265518867;0
8,8;8,705531328;0,634026871;0
9,1;2,84910584;0,313687744;0
8,8;2,760455816;0,262515017;0
8,4;2,114666874;0,289335105;0
8,2;2,377414952;0,811683131;0,01
8,1;2,73829331;0,872940211;0,05
8,5;2,355252446;0,388140308;0,08
9,2;4,511042337;0,625229882;0,09
9;3,067528906;0,471818981;0,09
9,1;1,950049076;0,259189326;0,1
9,4;2,114666874;0,368615284;0,11
8,8;1,994374088;0,199434171;0,07
8,1;1,709463504;0,270882885;0,01
7,3;2,826943334;0,438991194;0
6,9;2,257122166;0,639283608;0
6,4;2,564195256;0,840863386;0
6,4;1,851918796;0,869292679;0
6,3;4,381269296;1,368146308;0
6;0,142455292;0,20512003;0
6,4;1,709463504;0,294162721;0
6,5;1,994374088;0,273886734;0
6,8;2,13682938;0,263051419;0
6,7;2,279284672;0,26326598;0
6,6;2,421739964;0,265518867;0
6,3;8,705531328;0,634026871;0
6,4;2,84910584;0,313687744;0
5,8;2,760455816;0,262515017;0
5,6;2,114666874;0,289335105;0
5,9;2,377414952;0,811683131;0,01
6,9;2,73829331;0,872940211;0,07
7,4;2,355252446;0,388140308;0,09
8;4,511042337;0,625229882;0,06
8,1;3,067528906;0,471818981;0,05
8,5;1,950049076;0,259189326;0,06
7,7;2,114666874;0,368615284;0,05
7,3;1,994374088;0,199434171;0,01
7,2;1,709463504;0,270882885;0
7,5;2,826943334;0,438991194;0
7,7;2,257122166;0,639283608;0
7,2;2,564195256;0,840863386;0
7,8;1,851918796;0,869292679;0
8;4,381269296;1,368146308;0
8,3;0,142455292;0,20512003;0
8,9;2,15938368;0,301564381;0
8,9;2,365039269;0,262652848;0
8,9;2,15938368;0,304482746;0
9;2,262211474;0,265571213;0
9,2;2,056555886;0,297673228;0
9,5;2,15938368;0,278217461;0
9,3;2,467867063;0,496122046;0
10,2;7,285042108;0,823951712;0
9,4;3,084833829;0,782121814;0
9,5;4,382075461;1,068121582;0,02
8,7;3,187661623;0,604101551;0,06
8,6;3,084833829;0,577836266;0,06
8;2,570694857;0,567135594;0,05
8,2;2,15938368;0,687761347;0,04
7,9;4,279247667;0,342421491;0,04
8,1;2,262211474;1,129407247;0,03
8,4;2,262211474;0,555462134;0,01
10,2;5,473661504;0,664414427;0
12;1,850900297;0,661496062;0
12,8;1,748072503;0,615775011;0
12,7;1,850900297;0,677060675;0
13,4;5,679317093;0,88912853;0
13,5;2,056555886;0,777257873;0
13;2,15938368;0,456237725;0
11,2;1,709463504;0,294162721;0
9,8;1,994374088;0,273886734;0
9,5;2,13682938;0,263051419;0
9,5;2,279284672;0,26326598;0
9;2,421739964;0,265518867;0
7,9;8,705531328;0,634026871;0
7,9;2,84910584;0,313687744;0
7,3;2,760455816;0,262515017;0
6,1;2,114666874;0,289335105;0
6,3;2,377414952;0,811683131;0,03
7;2,73829331;0,872940211;0,08
7,1;2,355252446;0,388140308;0,15
7,8;4,511042337;0,625229882;0,25
7,7;3,067528906;0,471818981;0,29
8,2;1,950049076;0,259189326;0,27
8,6;2,114666874;0,368615284;0,19
7,4;1,994374088;0,199434171;0,09
6,6;1,709463504;0,270882885;0,02
6,6;2,826943334;0,438991194;0
6,5;2,257122166;0,639283608;0
6,5;2,564195256;0,840863386;0
7;1,851918796;0,869292679;0
6,8;4,381269296;1,368146308;0
6,9;0,142455292;0,20512003;0
6,9;1,709463504;0,294162721;0
6,7;1,994374088;0,273886734;0
6,1;2,13682938;0,263051419;0
6,1;2,279284672;0,26326598;0
6,5;2,421739964;0,265518867;0
5,4;8,705531328;0,634026871;0
5,5;2,84910584;0,313687744;0
5,9;2,760455816;0,262515017;0
6,1;2,114666874;0,289335105;0
6;2,377414952;0,811683131;0,02
5,2;2,73829331;0,872940211;0,03
6,1;2,355252446;0,388140308;0,03
6,3;4,511042337;0,625229882;0,04
6,8;3,067528906;0,471818981;0,04
6,7;1,950049076;0,259189326;0,05
7;2,114666874;0,368615284;0,04
6,9;1,994374088;0,199434171;0,02
6,6;1,709463504;0,270882885;0
6,3;2,826943334;0,438991194;0
5,9;2,257122166;0,639283608;0
5;2,564195256;0,840863386;0
5,1;1,851918796;0,869292679;0
5,5;4,381269296;1,368146308;0
5,9;0,142455292;0,20512003;0
5,5;1,709463504;0,294162721;0
5,3;1,994374088;0,273886734;0
5,3;2,13682938;0,263051419;0
5,5;2,279284672;0,26326598;0
4,9;2,421739964;0,265518867;0
4;8,705531328;0,634026871;0
3,4;2,84910584;0,313687744;0
3,3;2,760455816;0,262515017;0
3,1;2,114666874;0,289335105;0
3,3;2,377414952;0,811683131;0,02
3,3;2,73829331;0,872940211;0,06
3,6;2,355252446;0,388140308;0,09
4,1;4,511042337;0,625229882;0,13
4,6;3,067528906;0,471818981;0,13
4,8;1,950049076;0,259189326;0,07
5,2;2,114666874;0,368615284;0,04
5,3;1,994374088;0,199434171;0,02
5,6;1,709463504;0,270882885;0
6;2,826943334;0,438991194;0
8,3;2,257122166;0,639283608;0
8,2;2,564195256;0,840863386;0
10,6;1,851918796;0,869292679;0
12,5;4,381269296;1,368146308;0
12,5;0,142455292;0,20512003;0
12,6;1,709463504;0,294162721;0
12,7;1,994374088;0,273886734;0
12,5;2,13682938;0,263051419;0
12,7;2,279284672;0,26326598;0
12,7;2,421739964;0,265518867;0
12,8;8,705531328;0,634026871;0
12,9;2,84910584;0,313687744;0
12,8;2,760455816;0,262515017;0
12,4;2,114666874;0,289335105;0
12,1;2,377414952;0,811683131;0,03
12,2;2,73829331;0,872940211;0,08
12,8;2,355252446;0,388140308;0,14
13;4,511042337;0,625229882;0,18
12,6;3,067528906;0,471818981;0,18
12,7;1,950049076;0,259189326;0,15
12,3;2,114666874;0,368615284;0,1
11,3;1,994374088;0,199434171;0,05
9,3;1,709463504;0,270882885;0,01
6,8;2,826943334;0,438991194;0
5,7;2,257122166;0,639283608;0
1,3;2,564195256;0,840863386;0
1,2;1,851918796;0,869292679;0
1,7;4,381269296;1,368146308;0
2,5;0,142455292;0,20512003;0
3,3;4,904895294;0,708490305;0
3,2;4,142225981;0,466569166;0
2,9;4,385348548;0,471155812;0
2,4;4,19468122;0,309549759;0
1,6;4,990652145;0,351805448;0
1,5;5,267076325;0,642813449;0
1,5;6,110496849;0,662526264;0
1,5;5,181319474;0,400697134;0
1,8;6,754107698;0,454175465;0
1,8;5,943988786;0,449100879;0,01
2,6;4,904895294;0,825693729;0,05
3,1;4,004013892;0,228356379;0,1
3,5;4,766683205;0,194395687;0,1
3,6;4,19468122;0,196347451;0,09
3,7;5,148017861;0,188930748;0,11
3,6;5,095562622;0,277443242;0,09
3;6,048899263;0,475254516;0,05
3;5,891533548;0,299595763;0,02
2,8;6,115502488;0,461006639;0
3,4;5,510198891;0,838965723;0
4,6;3,050677251;0,905813638;0
3,6;3,136434102;0,837209136;0
3,1;4,55686225;0,947678974;0
2,5;4,766683205;0,960072675;0
4;1,709463504;0,294162721;0
5;1,994374088;0,273886734;0
5,1;2,13682938;0,263051419;0
6,9;2,279284672;0,26326598;0
7,9;2,421739964;0,265518867;0
8,7;8,705531328;0,634026871;0
8,3;2,84910584;0,313687744;0
9,1;2,760455816;0,262515017;0
9,4;2,114666874;0,289335105;0
10,1;2,377414952;0,811683131;0,02
9,8;2,73829331;0,872940211;0,03
10,7;2,355252446;0,388140308;0,03
10,5;4,511042337;0,625229882;0,03
9,6;3,067528906;0,471818981;0,04
9,8;1,950049076;0,259189326;0,04
10;2,114666874;0,368615284;0,05
9,4;1,994374088;0,199434171;0,05
8,5;1,709463504;0,270882885;0,02
8,3;2,826943334;0,438991194;0
8,1;2,257122166;0,639283608;0
8,1;2,564195256;0,840863386;0
8,3;1,851918796;0,869292679;0
7,9;4,381269296;1,368146308;0
7,2;0,142455292;0,20512003;0
6,2;3,278302352;0,382568101;0
5,2;3,079617361;0,334994866;0
4,6;3,476987343;0,282466085;0
4,6;3,576329839;0,282466085;0
4,8;2,980274866;0,271563885;0
5;3,576329839;0,284448303;0
5;3,476987343;0,278501649;0
5,1;3,377644848;0,312199357;0
4,1;3,874357325;0,60754986;0
4,7;10,31718822;0,612505406;0,03
4,9;4,768439785;0,747296239;0,09
5,3;8,453878696;0,721527404;0,18
5,8;5,282134498;0,918758109;0,28
5,9;5,124629637;1,841480654;0,3
5,6;4,470412299;0,655123096;0,24
5,2;4,271727307;1,970324833;0,18
5,1;4,271727307;0,272554995;0,1
4,7;4,073042316;0,224981759;0,02
3,6;4,371069803;0,220026214;0
3,3;4,984107012;0,382568101;0
2,9;7,186624148;1,580818968;0
1,1;4,727259655;1,042646743;0
0,5;4,371069803;0,495554535;0
0,6;3,973699821;0,282466085;0
-0,1;4,904895294;0,708490305;0
-0,4;4,142225981;0,466569166;0
-0,5;4,385348548;0,471155812;0
-0,4;4,19468122;0,309549759;0
-0,2;4,990652145;0,351805448;0
0,3;5,267076325;0,642813449;0
1;6,110496849;0,662526264;0
0,7;5,181319474;0,400697134;0
0,6;6,754107698;0,454175465;0
1,2;5,943988786;0,449100879;0,03
2,2;4,904895294;0,825693729;0,1
3,7;4,004013892;0,228356379;0,22
5,4;4,766683205;0,194395687;0,34
5,3;4,19468122;0,196347451;0,36
6,2;5,148017861;0,188930748;0,25
6;5,095562622;0,277443242;0,12
5,3;6,048899263;0,475254516;0,08
4,1;5,891533548;0,299595763;0,03
2,6;6,115502488;0,461006639;0
3,2;5,510198891;0,838965723;0
3,1;3,050677251;0,905813638;0
2,7;3,136434102;0,837209136;0
2,1;4,55686225;0,947678974;0
1,6;4,766683205;0,960072675;0
0,9;4,904895294;0,708490305;0
0,8;4,142225981;0,466569166;0
0,5;4,385348548;0,471155812;0
0,4;4,19468122;0,309549759;0
0,2;4,990652145;0,351805448;0
0,3;5,267076325;0,642813449;0
-0,1;6,110496849;0,662526264;0
0,3;5,181319474;0,400697134;0
0,3;6,754107698;0,454175465;0,01
0,8;5,943988786;0,449100879;0,07
1,6;4,904895294;0,825693729;0,18
2,9;4,004013892;0,228356379;0,28
4,1;4,766683205;0,194395687;0,32
3,8;4,19468122;0,196347451;0,3
4,9;5,148017861;0,188930748;0,24
4,3;5,095562622;0,277443242;0,16
3,6;6,048899263;0,475254516;0,07
2,8;5,891533548;0,299595763;0,02
1,9;6,115502488;0,461006639;0
1,1;5,510198891;0,838965723;0
0,8;3,050677251;0,905813638;0
1;3,136434102;0,837209136;0
0,9;4,55686225;0,947678974;0
